Aircraft_ICAO24,Callsign,Origin_Country,Time_Position,Longitude,Latitude,Barometric_Altitude,Velocity,Heading,Vertical_Rate,Geometric_Altitude,Squawk_Code
471f54,WZZ823,Hungary,1723570180,7.77,46.43,10965.18,231.56,321.86,-0.33,11513.82,1000.0
a9ea12,N738PK,United States,1723570160,-77.05,39.66,548.64,49.32,149.96,-3.58,601.98,3574.61
34440a,VLG362Z,Spain,1723570180,2.13,49.57,10980.42,241.26,29.79,0.0,11468.1,5544.0
a7b13b,DAL562,United States,1723570180,-92.99,39.43,8229.6,265.04,121.35,0.0,8709.66,3574.61
aa3d8b,N759XF,United States,1723570180,-97.02,32.18,1798.32,75.78,12.15,-0.65,1882.14,3574.61
34440b,VLG3160,Spain,1723570180,-6.23,37.23,3886.2,163.56,215.14,3.9,4175.76,3574.61
a10308,CXK243,United States,1723570110,-115.2,36.21,6225.54,0.06,230.62,-0.18,6547.51,3574.61
e49f8e,PRWDA,Brazil,1723570180,-47.32,-22.57,1280.16,40.46,168.26,0.0,1356.36,3574.61
a3a61b,TPA4074,United States,1723570170,-80.53,25.7,1089.66,109.25,353.51,-5.85,1188.72,3574.61
40803f,TOM9DW,United Kingdom,1723569830,15.81,41.13,11277.6,246.84,126.44,0.0,11917.68,7301.0
40803c,EXS63T,United Kingdom,1723570180,1.35,44.87,11277.6,212.89,168.15,0.0,11750.04,2265.0
ae622c,WAKE14,United States,1723569880,-106.57,34.92,0.0,39.35,154.44,-2.6,960.12,3574.61
ab7704,KSU38,United States,1723570170,-97.65,38.81,350.52,27.27,180.0,-1.63,358.14,3574.61
a724e3,N56DG,United States,1723570170,-71.1,42.71,205.74,30.4,293.96,-3.58,182.88,3574.61
a3e158,N34917,United States,1723570180,-92.1,44.4,2270.76,61.66,125.15,0.33,2346.96,3574.61
4008e5,BAW86S,United Kingdom,1723570180,9.41,51.36,10972.8,224.31,275.53,0.0,11506.2,1103.0
3c6706,DLH718,Germany,1723570180,45.6,41.23,11887.2,285.2,109.06,-0.33,12565.38,6417.0
a95dba,DAL669,United States,1723570180,-111.0,41.54,10972.8,216.03,266.18,0.0,11490.96,3574.61
a2dfdc,N28448,United States,1723570180,-115.21,35.86,1303.02,74.06,20.32,-2.28,1341.12,3574.61
a46304,DAL2430,United States,1723570180,-74.42,39.45,6667.5,234.82,39.93,-14.63,6934.2,6676.0
a77450,GTW58,United States,1723570180,-89.59,38.15,6225.54,199.82,126.31,8.13,6568.44,3574.61
a3696e,DAL2737,United States,1723570180,-71.02,42.36,6225.54,0.0,272.81,-0.18,6547.51,3574.61
a88d47,FFT2016,United States,1723570180,-105.72,39.31,6438.9,216.37,65.26,-10.08,6835.14,3574.61
ae6275,BLZR225,United States,1723570100,-97.99,27.44,1310.64,154.97,8.4,-6.83,1417.32,3574.61
aaa705,DLX78,United States,1723570180,-117.87,44.42,12496.8,223.38,191.83,-0.33,12938.76,3574.61
a1fc3b,ENY3523,United States,1723570180,-96.91,32.87,3139.44,133.76,0.44,-7.48,3360.42,2041.0
344409,VLG1MA,Spain,1723570180,-9.89,35.84,11269.98,248.02,218.94,0.0,12001.5,2651.0
abfb8a,N871RF,United States,1723570180,-102.44,42.84,11887.2,240.68,42.49,0.0,12519.66,3574.61
a7d751,NKS1670,United States,1723570180,-79.11,34.13,10980.42,229.19,214.76,0.33,11635.74,1371.0
a0802e,N131PA,United States,1723569940,-96.07,33.1,335.28,58.39,14.28,-0.65,365.76,3574.61
3c6712,DLH4J,Germany,1723570180,3.18,59.19,11582.4,247.66,320.22,0.0,11879.58,264.0
a1bff9,UCA4253,United States,1723570180,-77.67,39.14,3329.94,141.86,330.93,10.08,3451.86,3705.0
a08c7a,N1340W,United States,1723570160,-104.72,38.81,6225.54,1.29,180.0,-0.18,6547.51,3574.61
a82aa0,UPS4,United States,1723570000,113.51,22.1,6096.0,235.57,161.01,-11.7,6781.8,3574.61
471f38,WZZ8344,Hungary,1723570180,17.32,48.58,9197.34,216.55,125.43,-4.23,9677.4,7660.0
a1bff3,N21123,United States,1723570180,-81.86,26.97,2964.18,52.47,90.0,1.63,3147.06,3574.61
440caf,TAY1846,Austria,1723570180,16.47,44.08,12192.0,217.71,291.78,-0.33,12832.08,1355.0
801606,AXB932,India,1723570180,78.34,14.13,8534.4,174.85,26.19,0.0,9044.94,3574.61
a030cb,UCA4329,United States,1723570160,-53.98,38.68,6225.54,85.79,84.49,-0.33,6547.51,3574.61
a23675,UCA4329,United States,1723570180,-96.87,27.74,7620.0,240.48,17.43,-0.65,8122.92,3574.61
a21c4c,ENY3957,United States,1723570180,-104.88,31.64,10058.4,228.89,98.53,0.33,10721.34,3574.61
471f32,WMT829,Hungary,1723570180,4.31,39.88,10668.0,219.85,255.64,0.0,11254.74,4043.0
a8e420,LTA672,United States,1723570120,-89.68,39.86,419.1,58.32,311.42,-0.98,464.82,3574.61
801607,AXB1754,India,1723570180,76.05,29.42,6096.0,177.81,131.72,-8.13,6477.0,3574.61
a9fd22,N7426,United States,1723570120,-104.85,39.57,6225.54,5.92,357.19,-0.18,6547.51,3574.61
a2f9dd,GXA2501,United States,1723570180,-116.48,32.66,6126.48,221.82,85.74,7.48,6499.86,3574.61
a08c96,N1341P,United States,1723570180,-100.86,32.42,2095.5,77.02,344.11,0.0,2202.18,3574.61
48d160,SPWLA,Poland,1723569920,22.39,50.74,632.46,46.52,327.19,0.33,716.28,7000.0
a95de2,VXP104,United States,1723570180,-119.28,43.85,11887.2,226.93,181.3,-0.33,12237.72,3574.61
4951ef,TAP035,Portugal,1723570180,-9.1,38.83,548.64,109.23,31.52,0.98,662.94,3574.61
a3e171,N3492X,United States,1723570040,-121.9,39.8,274.32,43.8,40.24,-1.63,243.84,3574.61
471f02,WZZ574Q,Hungary,1723570180,8.86,52.43,10988.04,220.12,275.36,0.33,11490.96,3553.0
a91739,EJA685,United States,1723570180,-79.48,34.1,12496.8,209.59,26.69,-0.33,13182.6,3574.61
471f04,WMT433,Hungary,1723570180,24.35,36.84,9806.94,245.61,122.43,-9.1,10469.88,466.0
0d0b38,GMT161,Mexico,1723570050,-96.9,24.86,10058.4,222.23,107.93,0.0,10668.0,3574.61
c08341,CGXSI,Canada,1723570170,-81.29,42.73,998.22,50.35,7.63,0.0,1036.32,3574.61
a1031b,FFL1403,United States,1723570180,-97.27,36.37,12192.0,229.7,267.3,-0.33,12954.0,3574.61
a831ad,SKW3464,United States,1723570160,-104.72,38.81,6225.54,0.0,182.81,-0.18,6547.51,3574.61
a163c2,SKW3464,United States,1723570180,-119.05,36.78,10972.8,218.71,355.82,0.0,11529.06,3574.61
a24971,N24658,United States,1723570180,-81.83,27.25,2095.5,65.92,187.62,-0.33,2217.42,3574.61
a426a5,DAL380,United States,1723570180,-83.95,34.05,3139.44,145.13,252.46,-8.45,3307.08,1235.0
398e26,AFR88WN,France,1723570180,12.17,42.02,792.48,107.72,114.85,-0.33,876.3,1000.0
3c670f,DLH412,Germany,1723570180,-3.97,55.66,11582.4,249.07,294.66,-0.33,11856.72,6655.0
457c08,AFB701,Bulgaria,1723570180,24.95,42.04,525.78,57.33,95.15,0.0,6547.51,3340.0
ad428a,AAL501,United States,1723570180,-86.5,31.18,594.36,43.29,225.48,2.28,594.36,3574.61
a8943d,AAL501,United States,1723570180,-112.03,33.43,6225.54,5.66,140.62,-0.18,6547.51,3574.61
ac9709,DAL2490,United States,1723570180,-86.92,34.54,10058.4,249.09,106.19,0.0,10706.1,2276.0
a6eacf,DAL1580,United States,1723570180,-78.27,34.86,10660.38,239.45,37.76,0.0,11262.36,3574.61
a0f649,N161KC,United States,1723570180,-89.12,38.57,2369.82,78.35,221.54,0.0,2461.26,3574.61
a0800c,N131MS,United States,1723570180,-89.8,42.57,3901.44,194.05,124.2,-0.65,4053.84,3574.61
a296e5,N266SP,United States,1723570180,-105.02,40.46,1524.0,47.87,339.23,4.23,1577.34,3574.61
48ca63,SPTUD,Poland,1723570180,21.16,50.13,3040.38,74.36,252.69,-0.33,6547.51,4156.0
4008b4,SHT13K,United Kingdom,1723570180,-0.38,51.47,281.94,62.76,269.53,-3.58,304.8,5176.0
4008b3,BAW704W,United Kingdom,1723570180,15.55,48.72,4549.14,190.37,109.41,-9.1,4823.46,4652.0
a08021,AAL2944,United States,1723570180,-110.34,40.39,10370.82,231.99,290.65,0.0,10919.46,3574.61
c08335,WJA1100,Canada,1723570180,-95.14,41.2,9753.6,214.33,257.67,0.0,10309.86,665.0
a88d4d,LXJ650,United States,1723570180,-100.77,43.98,14325.6,272.23,95.2,0.0,14919.96,3574.61
ac970f,KOW910,United States,1723570180,-114.03,39.13,13700.76,270.74,81.15,-1.3,14317.98,3574.61
0d0b44,VOI3919,Mexico,1723570180,-96.84,17.53,10972.8,246.01,306.58,0.0,11719.56,3574.61
a3560b,DAL2656,United States,1723570180,-96.89,40.99,11887.2,258.06,51.39,0.0,12565.38,3574.61
408095,HLE07,United Kingdom,1723570180,-0.06,51.53,137.16,7.22,184.09,-1.3,152.4,3574.61
ac47b7,SWA1798,United States,1723570180,-87.11,41.53,1958.34,150.71,244.31,-7.48,2057.4,3574.61
a977d4,AAL1560,United States,1723570180,-112.02,33.43,6225.54,6.94,270.0,-0.18,6547.51,3574.61
a4b1fc,SIL142,United States,1723570180,-80.09,26.08,586.74,81.44,86.38,6.83,609.6,3574.61
ab772d,DAL89,United States,1723570180,-79.18,42.12,9151.62,244.31,212.62,0.0,9425.94,2561.0
4951cb,TAP826,Portugal,1723570180,8.8,44.23,6256.02,199.69,355.57,-6.83,6637.02,5216.0
0d0b3f,VIV1414,Mexico,1723570180,-98.79,19.56,4442.46,152.78,74.37,10.73,4716.78,3574.61
4951ce,TAP534,Portugal,1723570140,-9.14,38.77,6225.54,0.0,292.5,-0.18,6547.51,3574.61
ae626f,HAWK219,United States,1723570180,-98.01,27.28,3642.36,159.73,223.83,0.0,3886.2,3574.61
a4bf70,KII405,United States,1723570180,-83.59,41.77,4503.42,188.98,177.5,14.31,4640.58,4112.0
c07e2f,CGVUK,Canada,1723570180,-77.64,44.29,609.6,64.36,129.16,-0.98,609.6,6332.0
c07e2c,ACA582,Canada,1723570050,-95.34,30.02,1074.42,142.93,35.92,12.03,1181.1,3574.61
c08525,CGYKY,Canada,1723570180,-114.34,51.17,1760.22,41.24,40.45,1.63,1767.84,3574.61
a7d6a8,FFT1339,United States,1723570180,-121.93,37.37,6225.54,0.0,67.5,-0.18,6547.51,3107.0
a4d97e,SKW869T,United States,1723570180,-120.53,40.1,11277.6,228.96,169.78,0.0,11719.56,3574.61
a61987,SWA3757,United States,1723570170,-122.22,37.71,6225.54,0.0,300.94,-0.18,6547.51,3574.61
a666cd,SKW4916,United States,1723570180,-112.09,40.97,2720.34,123.48,66.43,-1.63,2827.02,3574.61
c02ebd,ACA109,Canada,1723570180,-109.49,51.5,12184.38,241.81,270.73,-0.33,12534.9,3574.61
a70c23,SCU9,United States,1723570160,-53.98,38.68,6225.54,49.9,180.0,-3.25,6547.51,3574.61
abc7c6,SWA3840,United States,1723570180,-108.02,34.31,11277.6,248.15,79.97,0.0,11963.4,3574.61
c02eca,ACA839,Canada,1723570180,-123.29,49.2,320.04,78.32,99.83,-4.55,335.28,3574.61
a0e36d,N1564R,United States,1723570180,-106.73,34.96,2164.08,63.71,51.56,-0.33,2286.0,3574.61
a5d308,N4745L,United States,1723570180,-75.87,38.85,1615.44,54.88,83.54,-2.93,1668.78,3574.61
ac2412,SWA1561,United States,1723570180,-80.29,40.41,1181.1,140.58,177.48,10.4,1234.44,3574.61
3c6582,DLH5KJ,Germany,1723570030,11.82,48.37,449.58,61.7,262.82,-2.93,510.54,3724.0
a40cdd,N360FV,United States,1723569960,-108.45,37.92,4175.76,79.14,185.97,1.3,4404.36,3574.61
3c6586,DLH1EY,Germany,1723570180,13.51,52.37,6225.54,19.55,70.31,-0.18,6547.51,3400.0
a5cc35,UAL1735,United States,1723570180,-104.27,46.65,10972.8,199.88,257.97,-0.33,11475.72,3574.61
a283ed,ENY4002,United States,1723570180,-80.65,35.25,3352.8,165.78,121.42,7.8,3535.68,3574.61
02a1a6,LBT7388,Tunisia,1723570180,15.3,44.14,11574.78,235.05,28.64,0.0,12192.0,6140.0
02a1a3,LBT844,Tunisia,1723570180,6.63,44.43,11582.4,249.05,327.66,0.0,12138.66,4030.0
a47662,TRP3,United States,1723570180,-76.96,39.45,868.68,49.66,166.83,-0.33,914.4,5273.0
ac3751,SWA4283,United States,1723570180,-89.84,34.27,11285.22,236.34,53.23,0.33,12016.74,7411.0
800441,AIC820,India,1723570180,76.62,28.63,2430.78,133.15,13.18,0.33,2476.5,3574.61
a3a67b,UPS104,United States,1723570180,-150.52,61.27,3886.2,156.97,271.69,11.38,3909.06,4164.0
c07e32,ACA1102,Canada,1723570180,-80.02,43.51,1577.34,123.28,76.49,-6.83,1645.92,1543.0
800446,BDA201,India,1723570180,86.58,23.69,8755.38,240.67,311.01,3.58,9319.26,2665.0
a1039a,N1645J,United States,1723570180,-121.15,39.1,1554.48,28.2,128.33,1.63,1630.68,3574.61
c07e33,ACA526,Canada,1723570180,-100.04,42.29,11269.98,263.02,64.64,-0.33,11910.06,3574.61
02a1a2,LBT281,Tunisia,1723570180,13.07,45.3,10058.4,230.04,201.52,0.0,10561.32,6670.0
3c6590,DLH2VV,Germany,1723570180,10.39,52.77,6995.16,201.04,339.48,-4.88,7353.3,6464.0
aa44ac,UAL169,United States,1723570180,-73.8,42.75,6065.52,209.24,197.45,-4.23,6233.16,3574.61
a390b1,N329KS,United States,1723570180,-77.84,42.64,4518.66,101.55,121.11,0.0,4678.68,5774.0
00c451,SFR170,South Africa,1723570180,24.67,-32.56,11277.6,281.44,67.65,0.33,11567.16,3574.61
a8592c,EJA637,United States,1723570180,-82.69,27.84,335.28,69.5,34.75,-6.5,358.14,7367.0
c02ec7,ACA062,Canada,1723570180,-168.72,55.96,11269.98,260.62,73.6,-0.33,11445.24,3574.61
3c6594,DLH8EV,Germany,1723570180,12.29,48.99,5539.74,217.13,181.09,-11.7,5875.02,1000.0
3c6593,DLH5KK,Germany,1723570180,19.98,57.53,11597.64,237.87,220.61,0.0,11932.92,6104.0
e49f2d,PRALL,Brazil,1723570180,-46.7,-23.67,883.92,59.38,31.9,-0.98,982.98,3574.61
39d314,TVF22EH,France,1723570180,0.78,48.66,6957.06,195.56,259.7,10.08,7246.62,7630.0
407b2c,NHZ657,United Kingdom,1723570180,-2.0,57.31,411.48,58.66,228.2,0.0,365.76,3574.61
ac0a22,AAL1793,United States,1723570180,-97.03,32.99,571.5,89.51,180.33,-4.55,617.22,3574.61
a4bf95,DAL7,United States,1723570180,-118.93,33.92,3108.96,148.22,271.59,1.63,3261.36,3574.61
abea11,AAL2465,United States,1723570180,-82.06,30.41,3223.26,156.98,255.19,5.2,3406.14,3574.61
a1f00e,MXY123,United States,1723570180,-83.52,29.28,8503.92,232.78,169.56,-11.05,9090.66,7420.0
39d310,TVF7318,France,1723570180,1.37,37.61,11887.2,223.22,210.47,0.0,12512.04,6755.0
39d311,TVF4431,France,1723570180,6.44,47.03,11590.02,221.54,285.49,-0.33,12123.42,1000.0
a7397f,N565AB,United States,1723570180,-79.91,33.79,12192.0,262.64,162.91,0.0,12915.9,5617.0
39d313,TVF65AQ,France,1723570180,-4.72,50.13,12496.8,234.76,131.27,0.0,12900.66,6357.0
a47656,N387LS,United States,1723570180,-92.49,44.05,1760.22,145.69,317.86,0.65,1851.66,3574.61
500395,T7MID,San Marino,1723570180,17.49,35.89,12496.8,240.75,140.29,-0.33,13220.7,1262.0
a306ff,N2942L,United States,1723570180,-71.35,41.95,1066.8,70.64,172.05,-0.33,1074.42,3574.61
ad574c,NKS286,United States,1723570180,-87.61,37.9,11277.6,231.45,26.11,0.0,11925.3,6155.0
c022b1,CFNDO,Canada,1723570150,-77.1,44.2,411.48,47.32,101.92,-0.33,426.72,3574.61
a426e0,LXJ367,United States,1723570180,-79.53,36.49,12192.0,202.55,219.23,-0.33,12793.98,6207.0
a71337,JIA5579,United States,1723570180,-81.04,35.31,1539.24,142.21,320.73,16.58,1623.06,3574.61
ac2439,SWA1500,United States,1723570180,-115.14,36.08,647.7,62.25,270.0,0.65,601.98,3574.61
a4630f,N382DM,United States,1723570180,-94.16,42.22,4815.84,108.52,328.57,0.0,5036.82,3574.61
a9ea6e,N738TB,United States,1723570180,-117.84,33.55,1394.46,44.86,306.61,-0.33,1424.94,3574.61
c01bc9,NDL901,Canada,1723570180,-77.08,44.44,6400.8,141.64,51.34,0.0,6675.12,555.0
a7e9e4,NKS1293,United States,1723570180,-114.97,36.05,10965.18,226.5,291.73,0.98,11590.02,4634.0
a21c82,EJA235,United States,1723570110,-87.76,41.78,6225.54,0.0,357.19,-0.18,6547.51,3574.61
a809f8,JIA5470,United States,1723570180,-81.05,41.14,5593.08,210.2,102.44,13.0,5798.82,7425.0
a773a4,N58AW,United States,1723570180,-149.99,61.18,6225.54,10.29,157.5,-0.18,6547.51,5222.0
a23699,N24139,United States,1723570180,-79.54,36.45,1325.88,53.57,221.5,0.98,1379.22,3574.61
0d0b04,AMX695,Mexico,1723570180,-111.42,32.61,10668.0,248.32,140.04,0.0,11308.08,3574.61
a666fd,N511UW,United States,1723570180,-90.96,30.42,266.7,62.56,258.14,-1.63,297.18,3574.61
a7d6b1,CXK179,United States,1723570180,-77.88,38.52,327.66,43.51,204.44,0.33,350.52,3574.61
a5d32b,N4746L,United States,1723570180,-96.81,32.99,693.42,55.92,320.6,-2.93,731.52,3574.61
a7130c,SWA981,United States,1723570180,-115.0,39.37,11582.4,233.18,318.22,0.0,12123.42,3574.61
ab9a44,VAR847,United States,1723570180,-112.8,33.32,624.84,66.59,11.14,-2.28,624.84,3574.61
39d30c,TVF759K,France,1723570180,2.56,48.76,739.14,100.71,254.9,-4.23,800.1,1000.0
39d30d,TVF63ER,France,1723570180,2.64,38.98,10972.8,236.14,33.9,0.0,11551.92,5565.0
c07e59,WJA314,Canada,1723570180,-95.77,49.86,11277.6,262.64,98.45,-0.33,11635.74,3574.61
c035d4,JZA7747,Canada,1723570180,-107.78,51.92,7178.04,198.58,269.7,7.8,7406.64,3574.61
a46310,DAL2031,United States,1723570180,-81.62,28.32,2354.58,141.98,263.13,10.08,2499.36,3574.61
8852e3,THA670,Thailand,1723570180,102.43,14.2,9364.98,241.69,68.13,4.88,10027.92,3574.61
a1acdb,RPA5637,United States,1723570180,-73.88,40.77,6225.54,0.0,213.75,-0.18,6547.51,3574.61
aaf77a,N8055C,United States,1723570180,-86.53,30.84,304.8,52.99,179.44,-2.6,342.9,3574.61
c07e51,CGVVS,Canada,1723569990,-73.72,45.47,6225.54,5.4,132.19,-0.18,6547.51,3574.61
00c45d,SFR197,South Africa,1723570180,24.73,-32.18,11582.4,191.73,247.77,-0.33,11917.68,3574.61
a64cdb,DAL296,United States,1723570110,-127.34,54.55,11887.2,277.75,103.5,0.0,12230.1,3574.61
ab64ee,EJA833,United States,1723570180,-103.19,40.22,13106.4,237.78,309.82,0.0,13792.2,2130.0
a57037,N45ER,United States,1723570140,-81.58,33.13,1813.56,62.16,245.56,0.33,1882.14,3574.61
39d30a,TVF40RW,France,1723570180,1.53,48.11,5913.12,205.27,27.79,-5.2,6187.44,2015.0
a46f54,N385R,United States,1723570180,-121.85,37.5,1539.24,91.07,270.97,-4.88,1554.48,3574.61
ace7bf,EDV5257,United States,1723569970,-84.65,39.02,266.7,75.62,0.0,-4.55,281.94,7210.0
c035bf,JZA606,Canada,1723570180,-73.76,45.3,2293.62,134.55,123.14,13.66,2354.58,3574.61
ac377b,SWA2327,United States,1723570180,-91.88,35.6,10058.4,258.14,86.8,-0.33,10713.72,3574.61
511065,SAS39C,Estonia,1723570180,16.34,58.71,8130.54,213.55,220.21,4.55,8442.96,3574.61
a65fb5,AEE962,United States,1723570160,-53.98,38.68,6225.54,237.92,327.72,0.65,6547.51,3574.61
4690e9,AEE962,Greece,1723570180,24.86,42.47,10363.2,242.82,359.76,-0.33,10957.56,7742.0
4690e5,AEE867,Greece,1723570180,17.31,48.51,10835.64,247.29,144.23,4.55,11323.32,1414.0
a390ed,DAL2568,United States,1723570180,-103.53,31.14,11277.6,228.34,106.76,-0.33,12001.5,3574.61
4690e3,AEE989,Greece,1723570180,21.69,41.19,11269.98,236.44,145.55,0.33,11925.3,1341.0
407b8b,WUK264,United Kingdom,1723570180,8.34,49.99,11269.98,228.03,91.94,0.33,11826.24,3416.0
ae27f9,C6008,United States,1723569930,-87.8,42.52,320.04,68.47,357.85,-2.28,350.52,3574.61
ae14c8,MNTNA46,United States,1723570020,-96.89,27.76,1691.64,83.3,292.13,-17.23,1882.14,3574.61
a45051,DAL2062,United States,1723570180,-96.97,40.09,11887.2,244.37,11.78,0.0,12588.24,3574.61
a53fd7,N43721,United States,1723569960,-75.97,40.38,6225.54,6.17,120.94,-0.18,6547.51,3574.61
aba1a0,DAL421,United States,1723570180,-90.06,41.81,9144.0,217.03,254.74,0.0,9578.34,1050.0
4b5da1,ATL780,Switzerland,1723569400,8.56,47.45,6225.54,2.06,188.44,-0.18,6547.51,3574.61
39e68b,AFR61PD,France,1723570180,0.72,46.09,9753.6,253.67,349.6,0.0,10180.32,1477.0
a3ffe0,N357LZ,United States,1723570180,-93.49,44.7,381.0,26.83,274.4,0.0,419.1,3574.61
a4d946,EJA411,United States,1723570180,-121.4,43.0,8420.1,224.84,0.92,-11.7,8732.52,1741.0
39e68f,AFR57UU,France,1723570170,-1.55,43.53,1805.94,127.52,39.6,11.05,1905.0,3574.61
3c6541,DLH1301,Germany,1723570180,12.58,48.89,9144.0,214.07,309.74,0.0,9624.06,3204.0
ac245c,SWA2016,United States,1723570180,-77.6,38.45,7703.82,214.55,195.44,5.85,8008.62,6544.0
ab0485,AAL1717,United States,1723570180,-106.16,45.75,10972.8,202.75,284.25,0.33,11468.1,3574.61
3430cd,VOE2368,Spain,1723570180,-4.87,36.81,4038.6,169.15,134.88,-6.18,4335.78,4421.0
a4503d,DAL372,United States,1723570000,-122.32,47.46,91.44,77.69,180.76,-2.6,114.3,3574.61
a4bf41,AAL2469,United States,1723570180,-109.79,35.7,10035.54,249.89,48.0,2.6,10637.52,3574.61
3430cc,VLG6950,Spain,1723570180,2.62,45.01,10675.62,213.95,176.28,0.33,11155.68,7621.0
3c7889,JAF6NB,Germany,1723570180,1.97,40.38,8069.58,227.34,350.62,5.85,8511.54,5342.0
4690f4,AEE5RX,Greece,1723570130,17.64,39.04,10668.0,244.14,115.59,0.0,11262.36,3574.61
a85903,N637PA,United States,1723570180,-81.31,28.57,297.18,54.33,65.38,0.98,320.04,3574.61
ab4aee,CXK1128,United States,1723570180,-112.34,40.88,2286.0,52.36,190.76,0.98,2339.34,3574.61
ad3d66,N952PM,United States,1723570180,-120.81,35.93,5234.94,120.35,329.71,-5.2,5471.16,3574.61
a5df20,N478DC,United States,1723570040,-83.29,43.07,594.36,45.81,271.93,-3.25,624.84,3574.61
3c654d,DLH4LW,Germany,1723570180,4.77,51.02,11574.78,241.12,291.53,0.33,12100.56,6652.0
3c4b45,EWG21G,Germany,1723570180,8.25,44.41,11590.02,250.62,64.86,0.0,12184.38,5341.0
0ac531,ASH6117,Colombia,1723570180,-77.72,38.89,1836.42,143.82,236.08,12.68,1927.86,3771.0
ad3d63,N952PJ,United States,1723570180,-81.42,27.06,9144.0,215.89,329.34,0.0,9753.6,3574.61
ac3794,N8868E,United States,1723570180,-112.16,33.11,647.7,39.0,120.96,-1.3,662.94,3574.61
3c4b35,DLH456,Germany,1723569890,-106.26,45.82,10972.8,217.17,224.9,0.0,11475.72,3574.61
a9047f,PXT680,United States,1723570180,-122.28,40.27,13106.4,235.68,355.99,0.33,13601.7,3574.61
a61949,UAL1088,United States,1723570180,-96.03,29.07,8077.2,239.46,228.57,5.2,8625.84,3574.61
aba1b2,VAR849,United States,1723570180,-112.22,33.81,1455.42,57.15,76.46,-1.3,1508.76,3574.61
a6193b,WUP492,United States,1723570180,-77.82,39.46,10774.68,192.29,251.27,3.58,11140.44,1541.0
ad3d4b,NKS426,United States,1723570180,-122.46,45.4,1318.26,123.71,43.65,-5.53,1348.74,3574.61
3c4b2b,DLH454,Germany,1723570180,-116.11,53.08,10972.8,270.72,217.59,0.0,11239.5,3574.61
3c6569,DLH438,Germany,1723570180,-89.36,41.78,11582.4,223.69,211.94,0.0,12146.28,3574.61
a666ae,N511RS,United States,1723570180,-76.7,42.16,10058.4,246.73,5.98,0.0,10424.16,6224.0
39e689,AFR32ZB,France,1723570180,1.95,46.44,11277.6,208.3,183.82,0.33,11780.52,1000.0
ada773,N9790G,United States,1723570180,-78.19,43.03,381.0,32.92,270.0,2.28,419.1,3574.61
a6ff0f,N55WJ,United States,1723570160,-118.77,36.39,2430.78,76.47,336.19,-1.63,2529.84,3574.61
a89fa9,N655DS,United States,1723569950,-98.74,29.16,678.18,43.19,257.62,-3.9,800.1,3574.61
39e684,AFR94BA,France,1723570180,-2.64,52.72,11277.6,205.42,137.84,0.0,11635.74,2274.0
ae4a1d,RN148,United States,1723570180,-86.78,31.0,1325.88,113.53,308.38,-0.33,1447.8,3574.61
a60631,N4879D,United States,1723570180,-89.53,43.11,6225.54,8.23,101.25,-0.18,6547.51,3574.61
a85931,QXE2129,United States,1723570180,-120.96,46.21,9151.62,216.52,120.4,6.83,9433.56,3574.61
39e687,AFR52TA,France,1723570180,10.05,44.15,11064.24,231.02,324.15,1.95,11650.98,1000.0
3c4b49,EWG1KB,Germany,1723570180,2.49,48.52,11277.6,212.55,228.83,0.0,11750.04,4115.0
a22395,N237MA,United States,1723570180,-86.27,40.09,1402.08,71.0,13.83,2.6,1493.52,3574.61
a52cc8,RPA4498,United States,1723570180,-77.52,41.14,9448.8,210.84,99.69,0.0,9768.84,1715.0
aaca75,SCX3035,United States,1723570180,-85.74,34.9,11887.2,262.26,139.22,-0.33,12626.34,3574.61
778825,SAW748,Syrian Arab Republic,1723570170,48.87,28.77,9753.6,256.13,326.88,0.0,10507.98,3574.61
a390e3,WUK7TQ,United States,1723570180,-95.4,29.97,762.0,137.55,347.47,10.08,800.1,3574.61
407b70,WUK7TQ,United Kingdom,1723570180,8.31,48.63,10347.96,226.83,105.93,0.0,10873.74,7321.0
c02eb9,ACA1,Canada,1723570180,-80.07,44.41,5958.84,211.39,316.08,9.75,6172.2,514.0
a9b4de,UAL2721,United States,1723570180,-113.65,42.56,10972.8,236.13,308.54,-0.33,11437.62,3574.61
ad4453,N954JH,United States,1723570180,-73.77,42.48,1645.92,39.16,9.83,-0.33,1691.64,3574.61
ac379a,SWA4061,United States,1723570180,-118.51,33.76,1943.1,143.4,188.04,11.38,2004.06,3574.61
80044b,AXB742,India,1723570180,55.53,25.32,6225.54,0.0,28.12,-0.18,6547.51,3574.61
a533b9,N434TX,United States,1723570040,-95.04,32.55,1638.3,81.85,92.16,0.0,1744.98,3574.61
a5cc19,UAL2664,United States,1723570180,-104.68,41.25,11277.6,253.16,76.25,-0.33,11910.06,3574.61
80044d,DEIST,India,1723569930,74.64,11.57,11292.84,211.57,129.57,-10.08,11932.92,3574.61
3d1baf,DEIST,Germany,1723569890,9.49,53.56,91.44,31.73,109.9,-3.9,99.06,7000.0
80044e,AXB681,India,1723570180,102.13,2.65,10317.48,246.66,292.18,4.55,11018.52,3574.61
3c656b,OCN864,Germany,1723570180,-76.56,43.45,12192.0,246.09,203.4,0.0,12496.8,6005.0
39e693,AFR25AP,France,1723570180,2.93,49.16,1379.22,141.36,118.71,-8.45,1455.42,6344.0
a5cc13,UAL1627,United States,1723570180,-97.97,39.44,10668.0,255.88,81.56,0.0,11330.94,3574.61
